 동서울대 컴퓨터정보과 전화번호?,컴퓨터정보과 전화번호는 031-720-2150 입니다.
 동서울대 주얼리디자인과 전화번호?,주얼리디자인학과 전화번호는 031-720-2140 입니다.
 동서울대 뷰티코디네이션과 전화번호?,뷰티코디네이션학과 전화번호는 031-720-2250 입니다.
 동서울대 연기예술학과 전화번호?,연기예술학과 전화번호는 031-720-2910 입니다.
 동서울대 실용음악과 전화번호?,실용음악과 전화번호는 031-724-2345 입니다.
 동서울대 콘텐츠크리에이터과 전화번호?,콘텐츠크리에이터학과 전화번호는 031-720-2114 입니다.
 동서울대 엔터테이먼트경영과 전화번호?,엔터테이먼트경영과 전화번호는 031-724-2330 입니다.
 동서울대 K-POP과 전화번호?,K-POP과 전화번호는 031-724-2335 입니다.
 동서울대 메타버스게임애니메이션과 전화번호?,메타버스게임애니메이션과 전화번호는 031-720-2909 입니다.
 동서울대 무대미술과 전화번호?,무대미술과 전화번호는 031-724-2336 입니다.
 동서울대 웹툰과 전화번호?,웹툰과 전화번호는 031-720-2118 입니다. 
 동서울대 AI응용소프트웨어과(P-TECH) 전화번호?, AI응용소프트웨어과(P-TECH) 전화번호는 031-724-2393 입니다.
 동서울대 AI응용소프트웨어학과(경력개발고도화) 전화번호?, AI응용소프트웨어학과(경력개발고도화) 031-724-2393 입니다.
 동서울대 인공지능컴퓨팅과(P-TECH) 전화번호?,인공지능컴퓨팅과(P-TECH) 전화번호는 031-724-2393 입니다.
 동서울대 제과산업특화과(재직자학위연계형) 전화번호?,제과산업특화과(재직자학위연계형) 전화번호는 031-724-2393 입니다.
 동서울대 헤어디자인과(재직자학위연계형) 전화번호?,헤어디자인과(재직자학위연계형) 전화번호는 031-724-2393 입니다.
 동서울대 [재학생]미래자동차학과(첨단산업아카데미) 전화번호?,[재학생]미래자동차학과(첨단산업아카데미)  전화번호는 031-720-2040 입니다.
 동서울대 컴퓨터정보과 팩스번호?,컴퓨터정보과 팩스번호는 031-720-2292 입니다.
 동서울대 컴퓨터소프트웨어과 팩스번호?,컴퓨터소프트웨어과 팩스번호는 031-720-2287 입니다.
 동서울대 컴퓨터전자과 팩스번호?,컴퓨터전자과 팩스번호는 031-720-2286 입니다.
 동서울대 항공기계과 팩스번호?,항공기계과 팩스번호는 031-720-2261 입니다.
 동서울대 미래자동차과 팩스번호?,미래자동차과 팩스번호는 031-720-2261 입니다.
 동서울대 전기공학과 팩스번호?,전기공학과 팩스번호는 031-720-2262 입니다.
 동서울대 IT융합학과 팩스번호?,IT융합학과 팩스번호는 031-720-2286 입니다.
 동서울대 건축학과 팩스번호?,건축학과 팩스번호는 031-720-2291 입니다.
 동서울대 디지털방송콘텐츠학과 팩스번호?,디지털방송콘텐츠학과 팩스번호는 031-720-2294 입니다.
 동서울대 실내디자인학과 팩스번호?,실내디자인학과 팩스번호는 031-720-2928 입니다.
 동서울대 게임콘텐츠학과 팩스번호?,게임콘텐츠학과 팩스번호는 031-720-2961 입니다.
 동서울대 자유전공학과 팩스번호?,자유전공학과 팩스번호는 입니다.
 동서울대 스마트드론과 팩스번호?,스마트드론과 팩스번호는 031-720-2261 입니다.
 동서울대 디지털헬스케어과 팩스번호?,디지털헬스케어과 팩스번호는 031-720-2263 입니다.
 동서울대 호텔외식조리과 팩스번호?,호텔외식조리과 팩스번호는 031-720-2297 입니다.
 동서울대 카페베이커리학과 팩스번호?,카페베이커리학과 팩스번호는 031-720-2297 입니다.
 동서울대 보건의료행정과 팩스번호?,보건의료행정과 팩스번호는 031-724-2333 입니다.
 동서울대 세무회계과 팩스번호?,세무회계과 팩스번호는 031-720-2290 입니다.
 동서울대 마케팅과 팩스번호?,마케팅과 팩스번호는 031-720-2290 입니다.
 동서울대 도시계획부동산과 팩스번호?,도시계획부동산과 팩스번호는 031-720-2290 입니다.
 동서울대 호텔관광경영과 팩스번호?,호텔관광경영과 팩스번호는 031-720-2297 입니다.
 동서울대 아동보육과 팩스번호?,아동보육과 팩스번호는 031-720-2917 입니다.
 동서울대 사회복지학과 팩스번호?,사회복지학과 팩스번호는 031-720-2916 입니다.
 동서울대 항공서비스학과 팩스번호?,항공서비스학과 팩스번호는 031-720-2956 입니다.
 동서울대 글로벌중국비즈니스과 팩스번호?,글로벌중국비즈니스과 팩스번호는 031-720-2958 입니다.
 동서울대 사회복지상담과 팩스번호?,사회복지상담과 팩스번호는 031-720-2916 입니다.
 동서울대 레저스포츠학과 팩스번호?,레저스포츠학과 팩스번호는 031-720-2296 입니다.
 동서울대 경호스포츠학과 팩스번호?,경호스포츠학과 팩스번호는 031-720-2296 입니다.
 동서울대 산업디자인학과 팩스번호?,산업디자인학과 팩스번호는 031-720-2289 입니다.
 동서울대 시각디자인학과 팩스번호?,시각디자인학과 팩스번호는 031-720-2265 입니다.
 동서울대 패션디자인과 팩스번호?,패션디자인과 팩스번호는 031-720-2295 입니다.
 동서울대 주얼리디자인과 팩스번호?,주얼리디자인과 팩스번호는 031-720-2945 입니다.
 동서울대 뷰티코디네이션과 팩스번호?,뷰티코디네이션과 팩스번호는 031-720-2915 입니다.
 동서울대 연기예술학과 팩스번호?,연기예술학과 팩스번호는 031-720-2918 입니다.
 동서울대 실용음악과 팩스번호?,실용음악과 팩스번호는 031-724-2345 입니다.
 동서울대 콘텐츠크리에이터과 팩스번호?,콘텐츠크리에이터과 팩스번호는 031-724-2099 입니다.
 동서울대 엔터테이먼트경영과 팩스번호?,엔터테이먼트경영과 팩스번호는 031-720-2918 입니다.
 동서울대 K-POP과 팩스번호?,K-POP과 팩스번호는 031-724-2347 입니다.
 동서울대 메타버스게임애니메이션과 팩스번호?,메타버스게임애니메이션과 팩스번호는 031-720-2961 입니다.
 동서울대 무대미술과 팩스번호?,무대미술과 팩스번호는 031-724-2337 입니다.
 동서울대 웹툰과 팩스번호?,웹툰과 팩스번호는 031-720-2289 입니다.
 동서울대 AI응용소프트웨어과(P-TECH) 팩스번호?,AI응용소프트웨어과(P-TECH) 팩스번호는 031-724-2393 입니다.
 동서울대 AI응용소프트웨어학과(경력개발고도화) 팩스번호?,AI응용소프트웨어학과(경력개발고도화) 팩스번호는 031-720-2919 입니다.
 동서울대 인공지능컴퓨팅과(P-TECH) 팩스번호?,인공지능컴퓨팅과(P-TECH) 팩스번호는 031-724-2390 입니다.
 동서울대 제과산업특화과(재직자학위연계형) 팩스번호?,제과산업특화과(재직자학위연계형) 팩스번호는 031-724-2390 입니다.
 동서울대 헤어디자인과(재직자학위연계형) 팩스번호?,헤어디자인과(재직자학위연계형) 팩스번호는 031-724-2390 입니다.
 동서울대 [재학생]미래자동차학과(첨단산업아카데미) 팩스번호?,[재학생]미래자동차학과(첨단산업아카데미) 팩스번호는 031-724-2390 입니다.
 동서울대 컴퓨터정보과 위치는?,컴퓨터정보과는 13호관(국제교류센터) 5층에 위치 하고 있습니다.
 동서울대 컴퓨터소프트웨어과 위치는?,컴퓨터소프트웨어과는 1호관 2층에 위치 하고 있습니다.
 동서울대 컴퓨터전자과 위치는?,컴퓨터전자과는 8호관 4층에 위치 하고 있습니다.
 동서울대 항공기계과 위치는?,항공기계과는 9호관 1층에 위치 하고 있습니다.
 동서울대 미래자동차과 위치는?,미래자동차과는 9호관 2층에 위치 하고 있습니다.
 동서울대 전기공학과 위치는?,전기공학과는 8호관 2층에 위치 하고 있습니다.
 동서울대 IT융합학과 위치는?,IT융합학과는 8호관 3층에 위치 하고 있습니다.
 동서울대 건축학과 위치는?,건축학과는 3호관 4층에 위치 하고 있습니다.
 동서울대 디지털방송콘텐츠학과 위치는?,디지털방송콘텐츠학과는 8호관 5층에 위치 하고 있습니다.
 동서울대 실내디자인학과 위치는?,실내디자인학과는 3호관 3층에 위치 하고 있습니다.
 동서울대 게임콘텐츠학과 위치는?,게임콘텐츠학과는 1호관 1층에 위치 하고 있습니다.
 동서울대 자유전공학과 위치는?,자유전공학과는 10호관 2층에 위치 하고 있습니다.
 동서울대 스마트드론과 위치는?,스마트드론과는 9호관 1층에 위치 하고 있습니다.
 동서울대 디지털헬스케어과 위치는?,디지털헬스케어과는 8호관 2층에 위치 하고 있습니다.
 동서울대 호텔외식조리과 위치는?,호텔외식조리과는 1호관 3층에 위치 하고 있습니다.
 동서울대 카페베이커리학과 위치는?,카페베이커리학과는 1호관 3층에 위치 하고 있습니다.
 동서울대 보건의료행정과 위치는?,보건의료행정과는 13호관(국제교류센터) 6층에 위치 하고 있습니다.
 동서울대 세무회계과 위치는?,세무회계과는 9호돤 5층에 위치 하고 있습니다.
 동서울대 마케팅과 위치는?,마케팅과는 9호관 5층에 위치 하고 있습니다.
 동서울대 도시계획부동산과 위치는?,도시계획부동산과는 9호관 5층에 위치 하고 있습니다.
 동서울대 호텔관광경영과 위치는?,호텔관광경영과는 1호관 3층에 위치 하고 있습니다.
 동서울대 아동보육과 위치는?,아동보육과는 13호관(국제교류센터) 4층에 위치 하고 있습니다.
 동서울대 사회복지학과 위치는?,사회복지학과는 9호관 4층 위치 하고 있습니다.
 동서울대 항공서비스학과 위치는?,항공서비스학과는 10호관 1층에 위치 하고 있습니다.
 동서울대 글로벌중국비즈니스과 위치는?,글로벌중국비즈니스과는 1호관 2층에 위치 하고 있습니다.
 동서울대 사회복지상담과 위치는?,사회복지상담과는 9호관 4층에 위치 하고 있습니다.
 동서울대 레저스포츠학과 위치는?,레저스포츠학과는 5호관 1층에 위치 하고 있습니다.
 동서울대 경호스포츠학과 위치는?,경호스포츠학과는 5호관 1층에 위치 하고 있습니다.
 동서울대 산업디자인학과 위치는?,산업디자인학과는 3호관 1층에 위치 하고 있습니다.
 동서울대 시각디자인학과 위치는?,시각디자인학과는 3호관 2층에 위치 하고 있습니다.
 동서울대 패션디자인과 위치는?,패션디자인과는 2호관 4층에 위치 하고 있습니다.
 동서울대 주얼리디자인과 위치는?,주얼리디자인과는 9호관 3층에 위치 하고 있습니다.
 동서울대 뷰티코디네이션과 위치는?,뷰티코디네이션과는 6호관 3층에 위치 하고 있습니다.
 동서울대 연기예술학과 위치는?,연기예술학과는 8호관 1층에 위치 하고 있습니다.
 동서울대 실용음악과 위치는?,실용음악과는 2호관 3층에 위치 하고 있습니다.
 동서울대 콘텐츠크리에이터과 위치는?,콘텐츠크리에이터과는 13호관(국제교류센터) 6층에 위치 하고 있습니다.
 동서울대 엔터테이먼트경영과 위치는?,엔터테이먼트경영과는 2호관 2층에 위치 하고 있습니다.
 동서울대 K-POP과 위치는?,K-POP과는 2호관 3층에 위치 하고 있습니다.
 동서울대 메타버스게임애니메이션과 위치는?,메타버스게임애니메이션과는 5호관 2층에 위치 하고 있습니다.
 동서울대 무대미술과 위치는?,무대미술과는 2호관 2층에 위치 하고 있습니다.
 동서울대 웹툰과 위치는?,웹툰과는 3호관 1층에 위치 하고 있습니다.
 동서울대 AI응용소프트웨어과(P-TECH) 위치는?,AI응용소프트웨어과(P-TECH)는 3호관 1층에 위치 하고 있습니다.
 동서울대 AI응용소프트웨어학과(경력개발고도화) 위치는?,AI응용소프트웨어학과(경력개발고도화)는 6호관 2층에 위치 하고 있습니다.
 동서울대 인공지능컴퓨팅과(P-TECH) 위치는?,인공지능컴퓨팅과(P-TECH)는 일학습병행훈련센터에 위치 하고 있습니다.
 동서울대 제과산업특화과(재직자학위연계형) 위치는?, 제과산업특화과(재직자학위연계형)는 일학습병행훈련센터에 위치 하고 있습니다.
 동서울대 헤어디자인과(재직자학위연계형) 위치는?,헤어디자인과(재직자학위연계형)는 일학습병행훈련센터에 위치 하고 있습니다.
 동서울대 [재학생]미래자동차학과(첨단산업아카데미) 위치는?,[재학생]미래자동차학과(첨단산업아카데미)는 일학습병행훈련센터에 위치 하고 있습니다.
 동서울대학교의 교육이념은 무엇인가요?,동서울대학교의 교육이념은 “인격과 기술이 겸비된 전인교육”입니다.
 동서울대학교의 교훈은 무엇인가요?,"동서울대학교의 교훈은 진실, 창의, 봉사입니다."
 동서울대학교의 사명은 어떤 것인가요?,동서울대학교의 사명은 참된 가치관 위에 지식과 기술을 창의적으로 활용하며 이웃을 위한 봉사의 자세를 갖춘 미래 필요 인재를 양성하는 것입니다.
 동서울대학교의 비전은 무엇인가요?,동서울대학교의 비전은 인성에 기술을 채워 공존의 가치를 실천하는 실용교육 선도대학입니다.
 동서울대학교 구성원이 교육자로서 지켜야 할 윤리적 원칙은 무엇인가요?,"교육자로서 동서울대학교 구성원은 학생의 인격을 존중하고 그들의 다양성을 인정하며, 사회가 요구하는 역량을 갖춘 전문직업인으로 성장할 수 있도록 해야 합니다."
 동서울대학교 연구자들이 준수해야 할 윤리적 기준은 무엇인가요?,"연구자들은 연구윤리를 준수하고 창의적이고 실무적인 연구 활동에 매진하며, 동료 교수의 교육과 연구 활동을 존중하여 교육 발전을 도모해야 합니다."
 동서울대학교 학생들이 지켜야 할 윤리적 원칙은 무엇인가요?,"학생들은 진취적인 자세로 전문지식을 쌓고 역량 강화와 자기 개발을 위해 노력하며, 국가 발전에 기여할 목표를 가지고 학업에 정진해야 합니다."
 동서울대학교 학생들이 타인과의 관계에서 지켜야 할 윤리적 태도는 무엇인가요?,학생들은 타인의 인격과 권리를 존중하고 다양한 사고와 문화를 인정하며 협력하고 소통해야 합니다.
 동서울대학교 학생들이 학내외 행동에서 지켜야 할 기준은 무엇인가요?,"학생들은 교직원의 인격과 가치를 존중하며 대학의 제·규정을 준수하고, 학내·외의 제반 행위가 법률과 도덕적 계율에서 벗어나지 않도록 항상 자율적 자기 통제에 최선을 다해야 합니다."
 동서울대학교가 2024년 6월 25일에 달성한 성과는 무엇인가요?,"2024년 6월 25일, 동서울대학교는 한국대학교육협의회 부설 한국교양기초교육원에서 2024년 전문대학 기초교양교육 우수개선대학으로 선정되었습니다."
 2024년 6월 11일 동서울대학교에서 어떤 시설이 준공되었나요?,"2024년 6월 11일, 동서울대학교에서 무대제작소(연면적: 378.22㎡)가 준공되었습니다."
 2024년 6월 10일 동서울대학교의 어떤 성과가 있었나요?,"2024년 6월 10일, 동서울대학교는 2023년 통합·재직자 일학습병행 공동훈련센터 성과평가에서 최우수(S등급)를 달성했습니다."
 동서울대학교가 2024년 5월 16일에 체결한 MOU는 어떤 기관과의 협약인가요?,"2024년 5월 16일, 동서울대학교는 한국항공대학교와 MOU를 체결했습니다."
 2024년 4월 24일 동서울대학교가 체결한 MOU는 어떤 외국 대학과의 협약인가요?,"2024년 4월 24일, 동서울대학교는 중국 남경임업대학과 MOU를 체결했습니다."
 동서울대학교가 2024년 4월 23일에 수상한 상은 무엇인가요?,"2024년 4월 23일, 동서울대학교는 2024 국가산업대상에서 산업경쟁력(인재육성) 부문 대상을 수상했습니다."
 2024년 4월 4일 동서울대학교가 체결한 MOU는 어떤 대학과의 협약인가요?,"2024년 4월 4일, 동서울대학교는 한국 폴리텍대학(성남 캠퍼스)과 MOU를 체결했습니다."
 2024년 3월 21일 동서울대학교가 체결한 MOU는 어떤 외국 대학과의 협약인가요?,"2024년 3월 21일, 동서울대학교는 싱가폴 DIMENSION 대학과 MOU를 체결했습니다."
 2024년 3월 1일 동서울대학교가 선정된 글로벌현장학습 사업의 세부 사항은 무엇인가요?,"2024년 3월 1일, 동서울대학교는 2024년 전문대학 글로벌현장학습 사업에 선정되었으며, 총 8명(호주 시드니 4명 + 중국 상하이 4명)이 참여합니다. 또한, 2024년 전문대학 글로벌현장학습 창업트랙 우수대학으로 선정되었습니다."
 동서울대학교가 2024년 3월 1일에 선정된 사업은 무엇인가요?,"2024년 3월 1일, 동서울대학교는 대학일자리플러스센터 사업, 재학생 맞춤형 고용서비스 사업, 고교생 맞춤형 고용서비스 사업에 선정되었습니다."
 2024년 3월 1일 동서울대학교의 제14대 총장은 누구인가요?,2024년 3월 1일 제14대 총장으로 유광섭 총장이 취임했습니다.
 2024년 2월 22일 동서울대학교에서 어떤 행사였나요?,"2024년 2월 22일, 동서울대학교는 제47회 입학식을 거행했습니다."
 2024년 2월 16일 동서울대학교에서 수여한 학위의 총 수는 얼마인가요?,"2024년 2월 16일, 동서울대학교는 제45회 전문학사 및 학사학위 수여식에서 총 2,052명(전문학사 1,716명, 학사 336명)에게 학위를 수여했습니다. 전체적으로 총 86,144명(전문학사 84,237명, 학사 1,907명)에게 학위를 수여했습니다."
 2024년 2월 5일 동서울대학교에서 어떤 조직 개편이 있었나요?,"2024년 2월 5일, 동서울대학교는 일학습병행공동훈련센터를 산학협력단 하부조직에서 총장 직속기구로 이동하는 조직 개편을 진행했습니다."
 2023년 11월 13일에 체결된 MOU는 어떤 기관과 관련이 있습니까?,"2023년 11월 13일에는 두 가지 MOU가 체결되었습니다. 하나는 호주 AIO Real Estate와 학생 취업을 위한 MOU이고, 다른 하나는 호주 MIT Institute와 학생 교류를 위한 MOU입니다."
 2023년 10월 30일에 체결된 협정은 무엇을 포함하고 있습니까?,2023년 10월 30일에는 중국 천진외국어대학교와 MOU 및 2+2 협정이 체결되었습니다.
 2023년 K-MOVE스쿨 사업 선정에 대한 정보는 무엇인가요?,"2023년 K-MOVE스쿨 사업으로는 싱가포르 식음료조리분야 정규취업 연수과정 8기가 선정되었습니다. 이 과정에는 총 10명이 참가하며, 호텔외식조리과 2명과 호텔관광경영학과 8명이 포함됩니다."
" 제44회 후기 전문학사 및 학사학위 수여는 언제 이루어졌고, 총 인원은 몇 명이었나요?","제44회 후기 전문학사 및 학사학위 수여는 2023년 8월 11일에 이루어졌으며, 전문학사 64명과 학사 1명이 수여되었습니다. 총 전문학사 82,521명, 학사학위 1,571명이 누적되었습니다."
 2023년 매치업사업 드론전문가 심화과정 선정 날짜는 언제인가요?,2023년 매치업사업 드론전문가 심화과정 선정은 2023년 5월 26일에 이루어졌습니다.
 2023년 전문대학 글로벌현장학습 사업은 어떤 내용을 포함하고 있나요?,"2023년 전문대학 글로벌현장학습 사업으로는 총 7명이 선정되었으며, 호주 시드니 5명과 중국 상하이 2명이 포함됩니다."
 2023년 재학생 맞춤형 고용서비스 사업 선정일자는 언제인가요?,2023년 재학생 맞춤형 고용서비스 사업은 2023년 3월 1일에 선정되었습니다.
 2023년 대학일자리플러스센터 사업 선정일자는 언제인가요?,2023년 대학일자리플러스센터 사업은 2023년 3월 1일에 선정되었습니다.
 제46회 입학식은 언제 거행되었나요?,제46회 입학식은 2023년 2월 23일에 거행되었습니다.
 제44회 전문학사 및 학사학위 수여의 날짜와 인원수는 얼마였나요?,"제44회 전문학사 및 학사학위 수여는 2023년 2월 17일에 이루어졌으며, 전문학사 1,838명과 학사 325명이 수여되었습니다. 총 전문학사 82,457명, 학사학위 1,570명이 누적되었습니다."
 2022년 12월 2일에 어떤 사업이 운영기관으로 선정되었나요?,"2022년 12월 2일, 일학습병행 첨단산업아카데미 시범사업의 운영기관으로 선정되었습니다. 해당 학과는 미래자동차과(자율주행 소프트웨어개발_L5)이며, 훈련인원은 20명 승인되었습니다. 운영형태는 일학습병행 전문대 재학생단계(공업전문학사)입니다."
 2022년 12월 1일의 조직개편에 대한 정보는 무엇인가요?,"2022년 12월 1일, 산학협력단 하부조직의 명칭이 변경되었습니다. P-TECH공동훈련센터가 일학습병행공동훈련센터로 변경되었습니다."
 2022년 10월 1일에 어떤 조직개편이 있었나요?,"2022년 10월 1일, 학생처 하부조직에 인권센터가 신설되었습니다."
 2022년 9월 15일에 선정된 K-MOVE스쿨 사업에 대한 정보는 무엇인가요?,"2022년 9월 15일, 싱가포르 식음료조리분야 정규취업 연수과정 7기가 선정되었습니다. 총 10명이 참가하며, 항공서비스학과 2명과 호텔관광경영학과 8명이 포함됩니다."
 2022년 8월 12일 제43회 후기 전문학사 및 학사학위 수여의 인원수는 얼마였나요?,"제43회 후기 전문학사 및 학사학위 수여는 2022년 8월 12일에 이루어졌으며, 전문학사 55명과 학사 12명이 수여되었습니다. 총 전문학사 80,619명, 학사학위 1,245명이 누적되었습니다."
 2022년 7월 22일에 어떤 국제 협정이 있었나요?,"2022년 7월 22일, Mongolia International University와 자매결연을 체결하였습니다."
 2022년 7월 1일에 조직개편된 내용은 무엇인가요?,"2022년 7월 1일, 혁신지원단 하부조직으로 메타버스교육센터가 신설되었으며, 총장직속으로 SDS HiVE센터가 신설되었습니다."
 2022년 6월 24일에 선정된 경력개발고도화 시범사업의 내용은 무엇인가요?,"2022년 6월 24일, 경력개발고도화 시범사업 운영 공동훈련센터로 AI융합소프트웨어학과(인공지능개발_L5)가 선정되었습니다. 모집정원은 20명이며, 운영형태는 정원외 계약학과 전공심화과정(공학사)입니다."
 2022년 6월 2일에 어떤 고등직업교육거점지구 사업이 선정되었나요?,"2022년 6월 2일, 동서울대학교-신구대학교-성남시 컨소시엄의 고등직업교육거점지구 사업(HiVE)이 선정되었습니다. 사업 기간은 2022년부터 2024년까지입니다."
 2022년 5월 20일에 선정된 전문대학 글로벌현장학습 사업의 내용은 무엇인가요?,"2022년 5월 20일, 전문대학 글로벌현장학습 사업으로 총 10명이 선정되었습니다. 이들은 호주 시드니 4명과 중국 상하이 6명으로 구성됩니다."
 2022년 5월 4일에 선정된 산학연협력 선도전문대학 육성사업에 대한 정보는 무엇인가요?,"2022년 5월 4일, 3단계 산학연협력 선도전문대학 육성사업(LINC 3.0)이 선정되었습니다. 이 사업은 2022년부터 2024년까지 진행됩니다."
 2022년 5월 1일의 조직개편 내용은 무엇인가요?,"2022년 5월 1일, 학생처 하부조직으로 학산관이 신설되었으며, 총장직속으로 시설사업단이 신설되었습니다."
 2022년 3월 1일에 있었던 조직개편에 대한 정보는 무엇인가요?,"2022년 3월 1일, 산학협력단 하부조직으로 특화산업지원센터, 공유협업지원센터, 공동장비운영센터, 산학공동기술개발센터가 신설되었으며, 중소기업산학혁신센터는 폐지되고 연구지원센터는 부속기관으로 이동했습니다. 또한 P-TECH공동훈련센터는 산학취업처에서 이동되었고, 사회맞춤형교육사업단은 LINC3.0사업단으로 변경되었습니다."
 2022년 3월 1일에 선정된 대학일자리플러스센터 사업의 정보는 무엇인가요?,"2022년 3월 1일, 대학일자리플러스센터 사업이 선정되었습니다."
 2022년 2월 24일에 개최된 행사에 대한 정보는 무엇인가요?,2022년 2월 24일에 제45회 입학식이 거행되었습니다.
 2022년 2월 11일에 제43회 전문학사 및 학사학위 수여의 인원수는 얼마였나요?,"제43회 전문학사 및 학사학위 수여는 2022년 2월 11일에 이루어졌으며, 전문학사 1,856명과 학사 292명이 수여되었습니다. 총 전문학사 80,564명, 학사학위 1,233명이 누적되었습니다."
" 동서울대학교가 2021년 어떤 평가에서 ""일반재정 지원 대학""으로 선정되었나요?","2021년 대학 기본역량 진단 최종결과에서 ""일반재정 지원 대학""으로 선정되었습니다."
 동서울대학교가 2021년 제42회 후기 전문학사 및 학사학위 수여식에서 수여한 학위의 총 수는 얼마인가요?,"2021년 제42회 후기 전문학사 및 학사학위 수여식에서 전문학사 53명, 학사 4명이 수여되었습니다. 누적 전문학사 78,708명, 학사 941명입니다."
 동서울대학교가 2021년 7월 1일에 어떤 조직개편을 단행했나요?,2021년 7월 1일에 신산업특화사업단이 신설되었습니다. 이 조직은 직속기구로 설정되었습니다.
 동서울대학교가 2021년 6월 1일에 무엇을 발표했나요?,"2021년 6월 1일, 동서울대학교는 교육부 주관 ""신산업분야 특화 선도전문대학 지원사업""에 선정되었으며, 한국연구재단과 사업 협약을 체결했습니다."
 동서울대학교의 신산업분야 특화 선도전문대학 지원사업의 총 사업기간은 언제부터 언제까지인가요?,총 사업기간은 2021년 6월 1일부터 2024년 2월 29일까지입니다.
 동서울대학교가 2021년에 매치업 사업 운영기관으로 선정된 날짜는 언제인가요?,2021년 4월 28일에 매치업 사업 운영기관으로 선정되었습니다.
 동서울대학교의 조직개편에서 2021년 4월 15일에 신설된 부서와 변경된 부서는 무엇인가요?,"2021년 4월 15일에 입학홍보처가 신설되었고, 학사지원처는 교무처로 명칭이 변경되었습니다. 교무처의 하부조직으로 원격교육지원센터가 신설되었습니다."
 2021년 동서울대학교가 K-Move스쿨 운영기관으로 선정된 날짜는 언제인가요?,2021년 3월 3일에 K-Move스쿨 운영기관으로 선정되었습니다.
 동서울대학교가 2021년에 고용노동부 대학일자리센터 사업에 선정된 횟수는 몇 회인가요?,2021년에 고용노동부 대학일자리센터 사업에 4년 연속으로 선정되었습니다.
 2021년 2월 19일에 동서울대학교가 거행한 제42회 전문학사 및 학사학위 수여식에서 수여한 학위의 총 수는 얼마인가요?,"제42회 전문학사 및 학사학위 수여식에서 전문학사 2,169명, 학사 285명이 수여되었습니다. 총 전문학사 78,655명, 학사 937명입니다."
 동서울대학교의 2019년 정규 인증심사 결과와 2020년 정규 전문대학 기관평가인증 보완심사 결과는 무엇인가요?,"2019년 정규 인증심사 결과와 2020년 정규 전문대학 기관평가인증 보완심사 결과 모두 ""인증"" 판정을 받았으며, 인증유효기간은 2021년 1월 1일부터 2024년 12월 31일까지입니다."
